date,price_supplier_a_dollars_per_item,price_supplier_b_dollars_per_item
1/02/2016,104,76
1/03/2016,108,76
1/04/2016,101,84
1/05/2016,104,79
1/06/2016,102,81
1/07/2016,105,84
1/08/2016,114,90
1/09/2016,102,93
1/10/2016,105,93
1/11/2016,101,99
1/12/2016,109,98
1/01/2017,103,96
1/02/2017,93,94
1/03/2017,98,104
1/04/2017,92,101
1/05/2017,97,102
1/06/2017,96,104
1/07/2017,94,106
1/08/2017,97,105
1/09/2017,93,103
1/10/2017,99,106
1/11/2017,93,104
1/12/2017,98,113
1/01/2018,94,115
1/02/2018,93,114
1/03/2018,92,124
1/04/2018,96,119
1/05/2018,98,115
1/06/2018,98,112
1/07/2018,93,111
1/08/2018,97,106
1/09/2018,102,107
1/10/2018,103,108
1/11/2018,100,108
1/12/2018,100,102
1/01/2019,104,104
1/02/2019,100,101
1/03/2019,103,101
1/04/2019,104,100
1/05/2019,101,103
1/06/2019,102,106
1/07/2019,100,100
1/08/2019,102,97
1/09/2019,108,98
1/10/2019,107,90
1/11/2019,107,92
1/12/2019,103,92
1/01/2020,109,99
1/02/2020,108,94
1/03/2020,108,91
