x,y,group
10.0,8.04,1
8.0,6.95,1
13.0,7.58,1
9.0,8.81,1
11.0,8.33,1
14.0,9.96,1
6.0,7.24,1
4.0,4.26,1
12.0,10.84,1
7.0,4.82,1
5.0,5.68,1
10.0,9.14,2
8.0,8.14,2
13.0,8.74,2
9.0,8.77,2
11.0,9.26,2
14.0,8.1,2
6.0,6.13,2
4.0,3.1,2
12.0,9.13,2
7.0,7.26,2
5.0,4.74,2
10.0,7.46,3
8.0,6.77,3
13.0,12.74,3
9.0,7.11,3
11.0,7.81,3
14.0,8.84,3
6.0,6.08,3
4.0,5.39,3
12.0,8.15,3
7.0,6.42,3
5.0,5.73,3
8.0,6.58,4
8.0,5.76,4
8.0,7.71,4
8.0,8.84,4
8.0,8.47,4
8.0,7.04,4
8.0,5.25,4
19.0,12.5,4
8.0,5.56,4
8.0,7.91,4
8.0,6.89,4
